Nom,Date de naissance,Age,Taille,Préférence de main,Origine,Classement,Cash prize,Titres en simple cette année,Victoires cette année
"Martina
Trevisan",1993-11-03,30,1.60m,Left-Handed,"Florence, Italy",81,"$239,503",0,3
"Bernarda
Pera",1994-12-03,29,1.76m,Left-Handed,"Zadar, Croatia",78,"$250,677",0,12
"Rebeka
Masarova",1999-08-06,24,1.86m,Right-Handed,"Basel, Switzerland",83,"$200,035",0,10
"Maria Lourdes
Carle",2000-02-10,24,1.66m,Right-Handed,"Daireaux, Argentina",84,"$59,176",0,19
"Laura
Siegemund",1988-03-04,36,1.68m,Right-Handed,"Filderstadt, Germany",6,"$395,282",0,9
"Kayla
Day",1999-09-28,24,1.73m,Left-Handed,"Santa Barbara, USA",86,"$149,512",0,2
"Clara
Tauson",2002-12-21,21,1.82m,Right-Handed,"Copenhagen, Denmark",87,"$206,427",0,12
"Harriet
Dart",1996-07-28,27,1.75m,Right-Handed,"Hampstead, London",88,"$79,868",0,12
"Yanina
Wickmayer",1989-10-20,34,1.82m,Right-Handed,"Lier, Belgium",89,"$111,717",0,1
"Belinda
Bencic",1997-03-10,27,1.75m,Right-Handed,"Flawil, Switzerland",90,$0,0,0
"Paula
Badosa",1997-11-15,26,1.80m,Right-Handed,"New York City, USA",91,"$257,044",0,5
"Zhuoxuan
Bai",2002-11-16,21,,Right-Handed,"Henan, China",92,"$98,854",0,3
"Varvara
Gracheva",2000-08-02,23,1.78m,Right-Handed,"Moscow, Russia",93,"$252,788",0,7
"Daria
Saville",1994-03-05,30,1.66m,Right-Handed,"Moscow, Russia",94,"$247,854",0,13
"Maria
Timofeeva",2003-11-18,20,1.67m,Right-Handed,"Moscow, Russia",95,"$294,935",0,9
"Kamilla
Rakhimova",2001-08-28,22,1.70m,Right-Handed,"Yekaterinburg, Russia",93,"$170,905",1,9
"Jodie
Burrage",1999-05-28,24,1.75m,Right-Handed,"London, Great Britain",97,"$105,941",0,5
"Emina
Bektas",1993-03-30,31,Right-Handed,Right-Handed,-,98,"$106,772",0,3
"Erika
Andreeva",2004-06-24,19,Right-Handed,Right-Handed,"Krasnoyarsk, Russia",99,"$131,720",0,17
"Renata
Zarazua",1997-09-30,26,1.60m,Right-Handed,"Mexico City, Mexico",100,"$94,698",0,7
